Author,File Name,Code Churn - Total number of lines added/deleted/edited,Author Edits/Commits with the file 
546669204,app/src/main/java/com/example/administrator/webot/TestHook.java,855,1
Jarvanh,app/src/main/java/com/example/administrator/webot/MySocket.java,782,2
546669204,app/src/test/java/com/example/administrator/webot/Test2.java,418,1
Jarvanh,app/src/main/java/com/example/administrator/webot/openSQLite.java,308,2
546669204,app/src/test/java/com/example/administrator/webot/ExampleUnitTest.java,165,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketService.java,159,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketServiceUDP.java,150,1
546669204,app/src/main/java/com/example/administrator/webot/Protocl.java,105,1
546669204,app/src/main/java/com/example/administrator/webot/HookLoader.java,91,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketClient.java,90,1
Jarvanh,app/src/main/java/com/example/administrator/webot/MyService.java,60,2
546669204,app/src/main/java/com/example/administrator/webot/MainActivity.java,57,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketClientUDP.java,41,1
546669204,app/src/androidTest/java/com/example/administrator/webot/ExampleInstrumentedTest.java,26,1
546669204,app/src/main/java/com/example/administrator/webot/MyApplication.java,26,1
546669204,app/src/main/java/com/example/administrator/webot/Config.java,5,1
